R ([kOhms])	BIN SUM
0.3	4.34E-06
0.3	3.95E-06
0.3	5.20E-06
0.3	4.84E-06
0.3	5.26E-06
0.3	4.98E-06
0.3	4.82E-06
0.3	4.50E-06
0.3	4.63E-06
0.3	4.72E-06
1	6.84E-06
1	6.17E-06
1	5.49E-06
1	5.82E-06
1	6.08E-06
1	5.63E-06
1	5.84E-06
1	6.06E-06
1	6.11E-06
1	6.08E-06
3	1.02E-05
3	9.58E-06
3	9.98E-06
3	1.09E-05
3	1.02E-05
3	9.64E-06
3	1.03E-05
3	9.39E-06
3	9.09E-06
3	1.50E-05
6	1.45E-05
6	1.25E-05
6	1.46E-05
6	1.45E-05
6	1.51E-05
6	1.29E-05
6	1.52E-05
6	1.44E-05
6	1.56E-05
6	1.50E-05
10	2.04E-05
10	1.87E-05
10	2.28E-05
10	1.85E-05
10	2.09E-05
10	2.01E-05
10	2.27E-05
10	2.41E-05
10	2.22E-05
10	2.04E-05
30	4.74E-05
30	4.73E-05
30	4.35E-05
30	4.34E-05
30	4.39E-05
30	4.41E-05
30	4.61E-05
30	4.42E-05
30	4.78E-05
30	4.55E-05
60	1.05E-04
60	1.04E-04
60	1.05E-04
60	1.04E-04
60	9.67E-05
60	1.15E-04
60	1.00E-04
60	9.57E-05
60	1.06E-04
60	1.02E-04
100	1.78E-04
100	1.73E-04
100	1.84E-04
100	1.76E-04
100	1.66E-04
100	1.61E-04
100	1.50E-04
100	1.84E-04
100	1.89E-04
100	1.79E-04
500	8.94E-04
500	7.20E-04
500	8.70E-04
500	8.22E-04
500	6.96E-04
500	7.78E-04
500	9.03E-04
500	8.11E-04
500	7.78E-04
500	7.91E-04
1000	1.57E-03
1000	1.64E-03
1000	1.49E-03
1000	1.69E-03
1000	1.55E-03
1000	1.58E-03
1000	1.54E-03
1000	1.57E-03
1000	1.54E-03
1000	1.61E-03
